screening_date,theater_id,movie_id,screening_time,tickets_sold,revenue,theater_name,address,movie_title,release_year,genre_id,imdb_rating,rotten_tomatoes,metacritic_rating,genre_name,imdb_rating_range,month,revenue_per_ticket,rating_to_sales_ratio,popularity_index
2024-07-26,48,462,9:03,365,2236,Aspen Grove Theater,6601 Loftsgordon Parkway,Delta of Venus,1989,18,7.9,34,96.0,Horror|Mystery|Thriller,7-9,7,6.126027397260274,0.02164383561643836,6447506.000000001
2024-04-05,45,387,15:24,221,4638,Voonix,1341 Esch Road,"Human Condition III, The (Ningen no joken III)",2003,12,8.9,57,97.0,Action|Adventure|Thriller|IMAX,7-9,4,20.986425339366516,0.040271493212669686,9122482.200000001
2024-08-15,11,26,18:00,138,3561,Enchanted Theater,5 Oxford Drive,Psycho Beach Party,1988,20,7.6,89,71.0,Romance|Sci-Fi,7-9,8,25.804347826086957,0.05507246376811594,3734776.8
2024-08-18,82,355,14:02,160,4156,Trilia,747 Graceland Terrace,"Muppets, The",2003,9,7.1,70,65.0,Drama|Romance,7-9,8,25.975,0.044375,4721216.0
2024-05-29,26,573,12:35,216,5311,Kazio,02724 Northview Junction,"Gas, Inspector Palmu! (Kaasua, komisario Palmu!)",2002,15,8.7,67,60.0,Action|Crime|Thriller,7-9,5,24.587962962962962,0.04027777777777777,9980431.2
2024-04-01,32,356,19:57,206,5781,Skiba,85 Portage Terrace,White of the Eye,2002,19,7.8,56,78.0,Documentary,7-9,4,28.063106796116504,0.037864077669902914,9288910.799999999
2024-08-18,33,246,10:53,390,4408,Wordtune,76 Novick Place,Sammy and Rosie Get Laid,2009,22,6.0,36,79.0,Comedy|War,5-7,8,11.302564102564103,0.015384615384615385,10314720.0
2024-06-29,65,533,13:46,29,3929,Tagopia,035 Hallows Avenue,Movie Days (Bíódagar),1995,17,9.2,94,88.0,Drama|Mystery,9-10,6,135.48275862068965,0.3172413793103448,1048257.1999999998
2024-06-24,37,249,9:53,445,1179,Camido,501 Jana Court,"Last Days of Disco, The",2009,13,6.8,98,78.0,Documentary,5-7,6,2.649438202247191,0.015280898876404493,3567654.0
2024-03-19,7,102,16:19,82,3456,Flashdog,2793 Claremont Center,Look Both Ways,2003,4,4.6,87,71.0,Crime|Drama|Thriller,3-5,3,42.146341463414636,0.05609756097560975,1303603.2
2024-03-03,40,157,18:23,358,3939,Photospace,095 Superior Junction,Take Care of My Cat (Goyangileul butaghae),1999,19,6.7,97,89.0,Documentary,5-7,3,11.002793296089385,0.018715083798882683,9448085.4
2024-05-22,21,188,15:47,229,5648,Skaboo,05435 Harbort Junction,"Outlaw Josey Wales, The",1989,8,5.1,53,68.0,Drama|Musical,5-7,5,24.663755458515283,0.0222707423580786,6596299.2
2024-05-18,71,539,19:28,182,3261,Centidel,83548 Dakota Place,Pool of London,1990,23,7.9,61,83.0,Drama,7-9,5,17.917582417582416,0.04340659340659341,4688665.8
2024-03-29,57,444,20:04,47,1256,Divanoodle,26 International Circle,"Wog Boy, The",2011,6,6.2,61,70.0,Comedy,5-7,3,26.72340425531915,0.13191489361702127,365998.39999999997
2024-08-22,1,468,17:45,463,4777,AMC Theater,412 Harbort Point,Outsider,1999,19,9.1,38,92.0,Documentary,9-10,8,10.317494600431965,0.019654427645788335,20126934.099999998
2024-09-17,84,425,11:25,280,3092,Grandview Playhouse,6388 Corben Way,"Miracle of Marcelino, The (Marcelino pan y vino)",1995,15,9.9,35,58.0,Action|Crime|Thriller,9-10,9,11.042857142857143,0.03535714285714286,8571024.0
2024-09-08,53,399,14:57,96,3462,Yakidoo,80 Old Gate Terrace,"Bruno (Dress Code, The)",2000,14,6.9,65,98.0,Thriller,5-7,9,36.0625,0.07187500000000001,2293228.8000000003
2024-03-17,74,507,14:55,88,2834,Radiance Theater,594 Steensland Terrace,Beauty #2,1993,10,6.9,73,84.0,Comedy|Drama|Romance,5-7,3,32.20454545454545,0.07840909090909091,1720804.8000000003
2024-08-27,8,486,17:31,370,4271,Thoughtsphere,8 Trailsway Road,Hamlet 2,2010,14,8.4,91,65.0,Thriller,7-9,8,11.543243243243243,0.022702702702702703,13274268.0
2024-08-14,12,196,13:05,368,4080,Dabtype,51 Coolidge Avenue,"Eleventh Year, The (Odinnadtsatyy) ",2003,23,7.2,96,60.0,Drama,7-9,8,11.08695652173913,0.01956521739130435,10810368.0
2024-03-27,52,89,13:21,437,2590,Gigashots Theater,04162 Bunting Alley,Bite the Bullet,1993,9,4.2,99,63.0,Drama|Romance,3-5,3,5.926773455377575,0.009610983981693364,4753686.0
2024-07-17,35,78,9:01,398,3341,Jabbersphere,763 Clyde Gallagher Drive,"Marriage Made in Heaven, A (Rab Ne Bana Di Jodi)",2012,15,4.2,82,80.0,Action|Crime|Thriller,3-5,7,8.394472361809045,0.010552763819095479,5584815.600000001
2024-04-12,25,500,10:43,77,3342,Edgeify,5 Darwin Avenue,Cherrybomb,2009,9,6.3,43,85.0,Drama|Romance,5-7,4,43.4025974025974,0.08181818181818182,1621204.2
2024-07-02,25,383,15:15,401,4248,Edgeify,5 Darwin Avenue,"Wall, The (Die Wand)",2008,11,9.4,48,77.0,Drama,9-10,7,10.59351620947631,0.02344139650872818,16012411.200000001
2024-07-29,24,505,11:29,61,2428,The Renaissance Theater,7 Fulton Parkway,Passion of Love (Passione d'amore),2000,3,5.1,87,64.0,Action|Drama|War,5-7,7,39.80327868852459,0.08360655737704917,755350.7999999999
2024-03-09,34,376,13:17,288,3331,Blogpad,64625 Elgar Avenue,Dream House,2011,19,5.6,46,75.0,Documentary,5-7,3,11.565972222222221,0.019444444444444445,5372236.8
2024-02-28,60,129,15:52,472,5298,Mita,21 Lakewood Hill,Frisco Jenny,1998,23,8.9,56,78.0,Drama,7-9,2,11.224576271186441,0.01885593220338983,22255838.400000002
2024-09-11,32,264,13:11,111,4549,Skiba,85 Portage Terrace,This Is the End,1999,18,8.7,44,70.0,Horror|Mystery|Thriller,7-9,9,40.98198198198198,0.07837837837837837,4392969.3
2024-06-03,12,297,19:58,248,5102,Dabtype,51 Coolidge Avenue,"Longest Day, The",2001,20,6.4,95,78.0,Romance|Sci-Fi,5-7,6,20.572580645161292,0.025806451612903226,8097894.4
2024-06-04,31,70,16:19,441,4364,Flipstorm,197 Red Cloud Avenue,Why Does Herr R. Run Amok? (Warum läuft Herr R. Amok?),2008,7,4.2,79,61.0,Comedy|Drama|Thriller,3-5,6,9.895691609977325,0.009523809523809525,8083000.8
2024-05-13,50,542,10:30,324,4800,Tagfeed,1 Mariners Cove Plaza,The Old Gun,1989,19,5.5,44,68.0,Documentary,5-7,5,14.814814814814815,0.016975308641975308,8553600.0
2024-08-29,50,557,10:15,122,3557,Tagfeed,1 Mariners Cove Plaza,Life in a Day,2011,3,5.4,80,75.0,Action|Drama|War,5-7,8,29.15573770491803,0.04426229508196722,2343351.6000000006
2024-06-04,3,152,9:59,161,2530,Avamm,552 Evergreen Point,"ABCs of Death, The",1985,12,6.7,48,79.0,Action|Adventure|Thriller|IMAX,5-7,6,15.714285714285714,0.04161490683229814,2729111.0
2024-02-22,69,501,17:36,128,1075,Flashspan,89 John Wall Trail,Gurren Lagann: The Lights in the Sky are Stars (Gekijô ban Tengen toppa guren ragan: Ragan hen),1996,23,8.5,69,83.0,Drama,7-9,2,8.3984375,0.06640625,1169600.0
2024-08-10,33,516,11:54,166,4974,Wordtune,76 Novick Place,"Air I Breathe, The",2003,9,5.9,52,78.0,Drama|Romance,5-7,8,29.96385542168675,0.035542168674698796,4871535.600000001
2024-05-07,43,422,18:57,415,5601,Dynabox,9774 Lakewood Lane,Nothing Like the Holidays,2003,12,8.1,86,74.0,Action|Adventure|Thriller|IMAX,7-9,5,13.496385542168674,0.019518072289156627,18827761.5
2024-05-24,72,581,12:06,445,3195,Meejo,4290 Claremont Street,Yonkers Joe,1992,24,8.7,45,68.0,Action|Adventure|Comedy|Crime|Mystery|Thriller,7-9,5,7.179775280898877,0.019550561797752806,12369442.499999998
2024-06-05,83,466,12:44,301,4020,The Silver Screen Cinema,18055 Mockingbird Lane,Beauty and the Beast,2012,23,7.3,58,88.0,Drama,7-9,6,13.355481727574752,0.02425249169435216,8833146.0
2024-05-16,83,446,13:32,218,947,The Silver Screen Cinema,18055 Mockingbird Lane,"Henry IV, Part II (Second Part of King Henry the Fourth, including his death and the coronation of King Henry the Fifth, The)",1996,23,6.6,64,83.0,Drama,5-7,5,4.344036697247707,0.030275229357798163,1362543.5999999999
2024-04-19,62,234,16:02,141,2137,Bubblebox,943 Crowley Hill,"Wind and the Lion, The",2001,18,4.8,35,66.0,Horror|Mystery|Thriller,3-5,4,15.156028368794326,0.03404255319148936,1446321.6
2024-04-08,5,412,20:53,126,997,Wordware,2579 Schiller Junction,Japanese Story,1995,16,6.9,52,65.0,Action|Thriller,5-7,4,7.912698412698413,0.05476190476190476,866791.8
2024-03-08,76,221,16:56,257,2317,Cogibox,74534 Troy Terrace,The Questor Tapes,2008,4,7.0,73,77.0,Crime|Drama|Thriller,5-7,3,9.01556420233463,0.027237354085603113,4168283.0
2024-03-16,47,202,9:08,337,1380,Quinu,6 Parkside Center,Spring Break,1994,23,6.5,93,78.0,Drama,5-7,3,4.094955489614243,0.019287833827893175,3022890.0
2024-06-30,40,576,18:07,126,5699,Photospace,095 Superior Junction,Spider-Man 3,2001,21,7.7,44,92.0,Comedy|Romance,7-9,6,45.23015873015873,0.06111111111111111,5529169.800000001
2024-05-07,21,180,17:03,403,2990,Skaboo,05435 Harbort Junction,Highlander: Endgame (Highlander IV),1991,3,4.0,47,78.0,Action|Drama|War,3-5,5,7.419354838709677,0.009925558312655087,4819880.0
2024-04-19,43,572,16:02,331,1363,Dynabox,9774 Lakewood Lane,Time Tracers,1998,19,7.8,39,60.0,Documentary,7-9,4,4.117824773413897,0.023564954682779457,3518993.4
2024-03-05,24,454,11:57,61,2564,The Renaissance Theater,7 Fulton Parkway,"Scorpion King, The",1991,18,7.1,63,95.0,Horror|Mystery|Thriller,7-9,3,42.032786885245905,0.11639344262295082,1110468.4
2024-04-15,66,65,10:29,33,4025,Quamba,328 Mandrake Junction,Kitchen Party,1992,10,8.8,54,96.0,Comedy|Drama|Romance,7-9,4,121.96969696969697,0.26666666666666666,1168860.0
