screening_date,theater_id,movie_id,screening_time,tickets_sold,revenue
26/07/2024,48,462,9:03,365,2236
05/04/2024,45,387,15:24,221,4638
15/08/2024,11,26,18:00,138,3561
18/08/2024,82,355,14:02,160,4156
19/07/2024,14,19,20:01,203,2745
29/05/2024,26,573,12:35,216,5311
01/04/2024,32,356,19:57,206,5781
18/08/2024,33,246,10:53,390,4408
29/06/2024,65,533,13:46,29,3929
24/06/2024,37,249,9:53,445,1179
19/03/2024,7,102,16:19,82,3456
03/03/2024,40,157,18:23,358,3939
31/03/2024,42,417,20:59,165,3636
22/05/2024,21,188,15:47,229,5648
18/05/2024,71,539,19:28,182,3261
29/03/2024,57,444,20:04,47,1256
22/08/2024,1,468,17:45,463,4777
17/09/2024,84,425,11:25,280,3092
08/09/2024,53,399,14:57,96,3462
17/03/2024,74,507,14:55,88,2834
27/08/2024,8,486,17:31,370,4271
14/08/2024,12,196,13:05,368,4080
27/03/2024,52,89,13:21,437,2590
17/07/2024,35,78,9:01,398,3341
12/04/2024,25,500,10:43,77,3342
02/07/2024,25,383,15:15,401,4248
29/07/2024,24,505,11:29,61,2428
09/03/2024,34,376,13:17,288,3331
28/02/2024,60,129,15:52,472,5298
11/09/2024,32,264,13:11,111,4549
03/06/2024,12,297,19:58,248,5102
04/06/2024,31,70,16:19,441,4364
13/05/2024,50,542,10:30,324,4800
08/06/2024,6,347,17:33,71,5500
29/08/2024,50,557,10:15,122,3557
04/06/2024,3,152,9:59,161,2530
22/02/2024,69,501,17:36,128,1075
10/08/2024,33,516,11:54,166,4974
07/05/2024,43,422,18:57,415,5601
24/05/2024,72,581,12:06,445,3195
05/06/2024,83,466,12:44,301,4020
16/05/2024,83,446,13:32,218,947
19/04/2024,62,234,16:02,141,2137
08/04/2024,5,412,20:53,126,997
08/03/2024,76,221,16:56,257,2317
16/03/2024,47,202,9:08,337,1380
30/06/2024,40,576,18:07,126,5699
07/05/2024,21,180,17:03,403,2990
19/04/2024,43,572,16:02,331,1363
05/03/2024,24,454,11:57,61,2564
15/04/2024,66,65,10:29,33,4025
22/05/2024,49,284,9:29,453,3056
07/08/2024,59,353,17:15,318,2920
17/08/2024,5,533,9:22,451,1755
19/05/2024,5,169,15:27,70,2083
01/04/2024,40,341,9:47,234,1985
07/09/2024,31,254,13:53,436,5542
15/06/2024,10,323,17:47,347,3478
15/06/2024,16,375,11:54,95,1505
06/08/2024,39,456,11:44,274,4103
03/05/2024,49,135,17:03,314,2995
02/06/2024,48,68,12:20,160,2467
31/07/2024,39,542,16:59,363,1192
12/08/2024,17,272,16:09,44,5760
24/04/2024,43,110,20:22,444,2305
15/08/2024,84,98,14:20,227,1753
09/09/2024,80,529,12:38,338,4326
21/03/2024,36,556,13:55,318,4649
06/03/2024,29,346,11:59,102,2692
16/03/2024,59,232,15:04,123,5102
20/03/2024,42,87,17:35,104,1953
25/07/2024,73,578,19:24,262,3896
03/08/2024,11,230,20:06,420,3908
20/03/2024,48,545,17:51,340,3555
12/06/2024,2,1,9:18,235,1085
30/05/2024,65,366,16:57,76,1332
26/04/2024,14,198,12:32,139,4711
31/03/2024,76,96,19:47,136,3577
02/06/2024,45,383,12:47,78,3984
05/04/2024,84,486,16:39,41,2543
14/09/2024,23,508,17:38,101,5522
25/05/2024,16,63,14:23,281,2093
22/05/2024,62,458,10:45,465,4657
16/07/2024,33,294,18:05,423,2106
05/03/2024,18,310,10:16,253,1947
06/03/2024,29,355,11:33,419,2259
05/06/2024,52,434,13:53,338,3259
16/08/2024,5,309,17:39,46,2014
30/07/2024,54,328,13:36,172,2479
06/07/2024,82,386,16:23,345,4367
08/09/2024,49,12,13:26,81,5251
05/03/2024,79,91,11:33,172,4161
13/07/2024,24,280,17:58,59,4685
10/09/2024,15,90,14:16,433,5453
05/09/2024,33,207,16:11,102,2229
03/09/2024,13,539,11:31,293,1128
